0,0,0.2446289,-481.75,
1,0,0.2442627,0,
2,0,0.2443848,0,
3,0,0.2442627,0,
4,0,0.2438965,0,
5,0,0.2423096,0,
6,0,0.2416992,0,
7,0,0.2412109,0,
8,0,0.2410889,0,
9,0,0.2487793,0,
10,0,0.2556152,0,
11,0,0.2641602,0,
12,0,0.2744141,0,
0,1,0.09875488,-194.5,
1,1,0.09857178,0,
2,1,0.09875488,0,
3,1,0.09863281,0,
4,1,0.09869385,0,
5,1,0.09893799,0,
6,1,0.09906006,0,
7,1,0.09924316,0,
8,1,0.09954834,0,
9,1,0.1047974,0,
10,1,0.1081543,0,
11,1,0.1124878,0,
12,1,0.1174927,0,
0,2,0.0196228,-38.71875,
1,2,0.01954651,0,
2,2,0.01963806,0,
3,2,0.01959229,0,
4,2,0.01968384,0,
5,2,0.02047729,0,
6,2,0.02081299,0,
7,2,0.0211792,0,
8,2,0.02163696,0,
9,2,0.02746582,0,
10,2,0.03045654,0,
11,2,0.03396606,0,
12,2,0.03799438,0,
0,3,0.004951477,-9.890625,
1,3,0.004871368,0,
2,3,0.004844666,0,
3,3,0.004970551,0,
4,3,0.005271912,0,
5,3,0.007469177,0,
6,3,0.008338928,0,
7,3,0.009269714,0,
8,3,0.01022339,0,
9,3,0.01994324,0,
10,3,0.02392578,0,
11,3,0.02827454,0,
12,3,0.03302002,0,
