1,25,0.01,5.4
1,25,0.02,10.89037
1,25,0.05,27.38708
1,25,0.1,55.05502
1,25,0.2,110.6732
1,25,0.5,271.7881
1,50,0.01,5.857038
1,50,0.02,11.71563
1,50,0.05,29.19932
1,50,0.1,58.54361
1,50,0.2,117.7791
1,50,0.5,294.3984
1,100,0.01,5.969742
1,100,0.02,11.96634
1,100,0.05,29.77458
1,100,0.1,59.57544
1,100,0.2,119.9513
1,100,0.5,300.3318
1,200,0.01,5.98817
1,200,0.02,12.01265
1,200,0.05,29.99857
1,200,0.1,60.02793
1,200,0.2,120.5164
1,200,0.5,301.9381
1,750,0.01,6.000291
1,750,0.02,12.06121
1,750,0.05,30.19424
1,750,0.1,60.53549
1,750,0.2,121.697
1,750,0.5,304.0958
1,2000,0.01,6.477384
1,2000,0.02,13.03157
1,2000,0.05,32.64766
1,2000,0.1,65.59892
1,2000,0.2,132.1518
1,2000,0.5,330.7387

1,2300,0.01,6.74
1,2300,0.02,13.51
1,2300,0.05,33.94
1,2300,0.1,68.13
1,2300,0.2,136.85
1,2300,0.5,343.6

1,2600,0.01,7.01
1,2600,0.02,14.05
1,2600,0.05,35.29
1,2600,0.1,70.87
1,2600,0.2,142.42
1,2600,0.5,357.72


2,0,0.4,0.5
2,0,0.8,1
2,0,1.2,1.51
2,0,1.6,2.01
2,0,2,2.51
2,0,2.4,3.01
2,0,3.5,4.37
2,0,4,4.98
3,0,0.01,6.97
3,0,0.02,14.67
3,0,0.05,38.23
3,0,0.1,77.56
3,0,0.2,156
3,0,0.3,234.5
3,0,0.5,390.9
3,0,0.6,467.8
